1,TR_FRW1,inflow,5/22/17,L1,4.34,54.86725664,7:17,27.3,6.92,90.57591623,10:42,29,,
2,TR_FRW1,inflow,5/22/17,L2,4.45,56.25790139,7:21,27.3,6.91,90.44502618,10:43,29,,
3,TR_FRW1,inflow,5/22/17,L3,4.53,57.26927939,7:23,27.3,6.95,90.96858639,10:44,29,,
4,TR_FRW1,inflow,5/22/17,L4,4.56,57.64854614,7:24,27.3,7.03,92.01570681,10:45,29.9,,
5,TR_FRW1,inflow,5/22/17,L5,4.62,58.40707965,7:26,27.3,6.93,90.70680628,10:47,29.9,,
6,TR_FRW1,inflow,5/22/17,L6,4.6,58.15423515,7:27,27.3,7.05,92.27748691,10:48,29.9,,
ave_light,,,,,,57.10071639,,27.3,,91.16492147,,29.45,,
7,TR_FRW1,inflow,5/22/17,D1,4.69,59.2920354,7:29,27.3,6.01,78.66492147,10:33,30,,
8,TR_FRW1,inflow,5/22/17,D2,4.27,53.98230088,7:31,27.7,6.01,78.66492147,10:35,29.6,,
9,TR_FRW1,inflow,5/22/17,D3,4.8,60.68268015,7:34,27.7,5.96,78.0104712,10:36,29.6,,
10,TR_FRW1,inflow,5/22/17,D4,4.88,61.69405815,7:35,27.7,6.03,78.92670157,10:38,29.6,,
11,TR_FRW1,inflow,5/22/17,D5,4.91,62.07332491,7:37,28.4,6.05,79.18848168,10:39,29.6,,
12,TR_FRW1,inflow,5/22/17,D6,4.98,62.95828066,7:38,28.8,6.05,79.18848168,10:41,29.6,,
ave_dark,,,,,,60.11378003,,27.93333333,,85.44603303,,29.66666667,,
13,TR_FRW1,inflow,7/6/17,L1,9.5,132.31,7:13,30.3,11.19,149,9:17,30.4,,
14,TR_FRW1,inflow,7/6/17,L2,9.44,125.53,7:11,30.3,11.23,150.13,9:15,30.6,,
15,TR_FRW1,inflow,7/6/17,L3,9.36,123.97,7:08,30.1,11.16,149.4,9:13,30.7,,
16,TR_FRW1,inflow,7/6/17,L4,11.48,152.46,7:02,30.2,11.15,149.46,9:11,30.8,,
17,TR_FRW1,inflow,7/6/17,L5,11.95,158.91,6:55,30.3,9.56,129.72,9:10,31.5,,
18,TR_FRW1,inflow,7/6/17,L6,9.15,121.84,6:48,30.4,9.61,134.22,9:08,33.2,,
